Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170501_4,N54892,Day4,3,0,F,381,old,7.5,7.178,1.8,3.245,0,0,0,0,5.7,3.933,0.76,0.547924213,0.957066667,0.69
170501_5,N54893,Day4,3,0,M,381,old,16.6,7.8,0,0,0,0,4.9,1.278,11.7,6.522,0.704819277,0.836153846,0.469879518,0.557435897
170501_6,N54897,Day4,3,0,M,381,old,10.3,5.539,0,0,0,0,0,0,10.3,5.539,1,1,0.53776699,0.53776699
170501_7,N54898,Day4,3,0,F,381,old,3.6,0.819,0,0,0,0,0,0,3.6,0.819,1,1,0.2275,0.2275
170501_8,N54899,Day4,3,0,F,381,old,3.2,0.557,0,0,0,0,0,0,3.2,0.557,1,1,0.1740625,0.1740625
161107_1,N54716/N54915,Day4,4,4,F,383,old,56.7,52.668,8.9,3.671,20.2,22.09,12.4,14.847,15.1,12.061,0.266313933,0.229000532,0.928888889,0.798741722
161107_2,N54714/N54916,Day4,4,4,F,383,old,24,18.452,11,7.866,5.7,6.588,0.9,1.049,6.3,2.95,0.2625,0.159874268,0.768833333,0.468253968
161107_3,N54717,Day4,4,4,F,383,old,17.1,4.687,17.1,4.687,0,0,0,0,0,0,0,0,0.274093567,
161107_4,N54715/N54917,Day4,4,4,M,379,old,24.4,23.663,6.1,7.702,0,0,2.6,3.507,15.8,12.454,0.647540984,0.526306893,0.969795082,0.788227848
161107_5,N54718//N54721,Day4,4,4,M,379,old,7.1,0.131,0,0,0,0,0,0,7.1,0.131,1,1,0.018450704,0.018450704
161107_6,N54719,Day4,4,4,M,379,old,20,13.569,8.3,4.457,1.7,1.803,1,1.508,9.1,5.801,0.455,0.427518609,0.67845,0.637472528
161107_7,N54720,Day4,4,4,M,379,old,19.8,10.979,3,2.098,0,0,0,0,16.9,8.882,0.853535354,0.808998998,0.55449495,0.52556213
161107_8,N54722,Day4,4,4,M,379,old,47.3,75.708,10.8,16.256,6.9,14.978,10.2,13.831,19.4,30.644,0.410147992,0.404765679,1.600591966,1.579587629
170123_1,N54760/N54754/N54755,Day4,4,0,F,400,old,22.6,27.53,0.7,1.049,0,0,3.1,5.047,18.8,21.434,0.831858407,0.778568834,1.218141593,1.140106383
170123_2,N54757/N54759,Day4,4,0,F,400,old,5.1,3.769,0.6,1.278,0,0,0,0,4.5,2.491,0.882352941,0.660918015,0.739019608,0.553555556
170123_3,N54765,Day4,4,0,F,400,old,6.6,5.899,0,0,1.1,1.934,0.7,1.18,4.8,2.786,0.727272727,0.472283438,0.893787879,0.580416667
170123_4,N54766,Day4,4,4,M,396,old,29.8,17.272,21.9,14.486,0,0,0,0,7.9,2.786,0.265100671,0.161301529,0.579597315,0.352658228
170123_5,N54770,Day4,4,4,M,396,old,20.5,28.841,2.9,5.146,4.8,8.03,4.1,7.079,8.7,8.587,0.424390244,0.297735862,1.406878049,0.987011494
170123_6,N54761,Day4,4,4,F,396,old,26.3,20.681,19.7,17.6,0,0,0,0,6.6,3.081,0.25095057,0.148977322,0.78634981,0.466818182
170123_7,N54762,Day4,4,4,F,396,old,60,60.567,19.3,17.862,3.4,4.621,1.5,1.671,35.8,36.412,0.596666667,0.601185464,1.00945,1.017094972
170123_8,N54763,Day4,4,4,F,396,old,17.3,16.289,10.1,14.388,0,0,0,0,7.1,1.901,0.410404624,0.116704525,0.941560694,0.267746479
